number,sourceId,title,domain,corpus,createdAt,chunkCount,primaryCategory,categoryTags,productTags,topicTags,complianceSensitivity,sourceRef
"26","knowledge_source_7cb94f7b-ed7c-4554-9515-ac281f8be752","THREE Imune Curated Blend and CAT Clinical Study Dossier","training","three-corpus","2026-07-07T08:51:39.074Z","67","products","forms-admin|product-science|products|vision-strategy","imune|revive|visage","cellular-absorption|clinical-study|gut-immune|imune|metabolism|official-dossier|product-education|science|skincare","standard","file:D:/THREE/clinical-studies/Imune-Curated-Blend-and-CAT-Clinical-Study-Dossier.pdf"
"27","knowledge_source_fad549a8-5dbc-4923-834e-2b9761462876","THREE Enrollment Form Simple 6 NAM","organizational","three-corpus","2026-07-07T08:51:39.074Z","4","forms-admin","compliance-policies|forms-admin|products","collagene|eternel|glp-three|imune|kynetik|purifi|revive|visage|vitalite","brand-ambassador|compliance|detox|energy|enrollment|official-form|product-education|skincare","high","file:D:/THREE/enrollment-forms for ba/251126_EnrollmentForm_Simple6_NAM_v1.pdf"
"28","knowledge_source_309d2fe2-a002-4cf2-9fa3-6f22fa914edb","THREE Brand Ambassador Presentation","training","three-corpus","2026-07-07T08:51:39.074Z","1","general-training","general-training","","brand-ambassador|official-training|presentation","standard","file:D:/THREE/presentation/rev-3THREE-PRESENTATION-BAs.pdf"
"29","knowledge_source_d907e03f-458b-4abb-8c3f-9e25c89a958f","THREE Product Fact Sheets Collection","training","three-corpus","2026-07-07T08:51:39.074Z","49","products","forms-admin|product-science|products","collagene|coq10|eternel|glp-three|glutathione|imune|mbc-267|omega-3|purifi|revive|visage|vitalite","cellular-absorption|collection|detox|energy|gut-immune|metabolism|official-fact-sheet|product|product-education|skincare","standard","file:D:/THREE/products/2301V1_ProductFactSheets.pdf"
"30","knowledge_source_76abdd01-7e79-47dc-9d78-1a54bd666c6f","THREE Product Price Sheet English","training","three-corpus","2026-07-07T08:51:39.074Z","2","products","products","collagene|eternel|imune|purifi|revive|visage|vitalite","detox|energy|official-reference|price-sheet|product|product-education|skincare","standard","file:D:/THREE/products/2303V1_Product-Price-Sheet_ENG_01.pdf"
"31","knowledge_source_5bad7aea-6284-49fa-880f-7ca521548744","THREE Visage Fact Sheet English","training","three-corpus","2026-07-07T08:51:39.074Z","6","products","forms-admin|product-science|products","collagene|visage","cellular-absorption|official-fact-sheet|product|product-education|skincare|visage","standard","file:D:/THREE/products/2408V1_FactSheet-Visage_ENG_01.pdf"
"32","knowledge_source_cfcb3d00-19ac-40e0-b8fc-c96d6aa52f6b","THREE Visage Pure Cleanse Fact Sheet","training","three-corpus","2026-07-07T08:51:39.074Z","6","products","forms-admin|product-science|products","purifi|visage","cellular-absorption|detox|official-fact-sheet|product|product-education|pure-cleanse|skincare|visage","standard","file:D:/THREE/products/2410V1_FactSheet-Visage_Pure-Cleanse_FNL.pdf"
"33","knowledge_source_347a23ec-02a6-4c7f-a974-55bebce643dc","THREE Visage Radiant Toner Fact Sheet English","training","three-corpus","2026-07-07T08:51:39.074Z","6","products","forms-admin|product-science|products","collagene|visage","cellular-absorption|official-fact-sheet|product|product-education|radiant-toner|skincare|visage","standard","file:D:/THREE/products/2410V1_FactSheet-Visage_Radiant-Toner_ENG_FNL.pdf"
"34","knowledge_source_67792011-46c7-4593-93df-ae1eefea8150","THREE Visage Creme Caviar FAQ English","training","three-corpus","2026-07-07T08:51:39.074Z","4","products","forms-admin|product-science|products","collagene|omega-3|purifi|visage","creme-caviar|detox|official-faq|product|product-education|skincare|visage","standard","file:D:/THREE/products/2503v1_FAQ-Visage_creme-caviar_ENG_FNL.pdf"
"35","knowledge_source_e6a345e9-5f2e-4a15-b4f6-fd9e040c03ef","THREE Collagene Focus Group Sheet","training","three-corpus","2026-07-07T08:51:39.074Z","3","products","product-science|products","collagene","cellular-absorption|collagene|focus-group|official-sheet|product|product-education|skincare","standard","file:D:/THREE/products/Collagene-focus-group-sheet_FNL.pdf"
"36","knowledge_source_200f0e47-03e2-4390-b246-81150799bdb3","THREE Customer Program Flyer","training","three-corpus","2026-07-07T08:51:39.074Z","3","general-training","general-training|products","collagene|eternel|imune|purifi|revive|visage|vitalite","compensation|customer-program|detox|official-flyer|product-education|promotion|skincare","standard","file:D:/THREE/promotions/CustomerProgramFlyer_02-1.pdf"
"37","knowledge_source_c6695103-9641-43ab-ad0f-f57da77bcc38","THREE Cellular Absorption Study Sheet","training","three-corpus","2026-07-07T08:51:39.074Z","7","product-science","forms-admin|product-science|products","collagene|eternel|imune|purifi|revive|vitalite","cellular-absorption|official-study-sheet|product-education|science","standard","file:D:/THREE/research/cellular_absorption_study_sheet_03.pdf"
"38","knowledge_source_b32f42f8-519c-43d3-8d7b-4762f1e26931","MCS v2 Strategic Foundation and Vision","organizational","mcs-vision","2026-07-07T09:02:56.021Z","12","vision-strategy","business-building|compliance-policies|forms-admin|products|vision-strategy","glp-three","business-building|compensation|compliance|internal-grounding|kevin-authored|mcs-v2|product-education|strategic-foundation|team-magnificent|vision","high","file:D:/TEAM-MAG/vision/MCS-STRATEGIC-FOUNDATION-2026-07-05.md"
"39","knowledge_source_6d378a77-710a-4971-861b-aec7d791178f","Upline: Basic DMO (Daily Method of Operations)","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","7","general-training","business-building|forms-admin|general-training","","5-point-system|business-building|daily-actions|dmo|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/basic-dmo.md"
"40","knowledge_source_beb7d149-c446-4c56-a940-1261034316fa","Upline: Business Approach Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","6","business-building","business-building|compensation-plan|forms-admin|product-science|products","","5-point-system|business-approach|compensation|product-education|scripts|upline-reference","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/business-approach-script.md"
"41","knowledge_source_d2f18b29-6f6a-4b9c-b90c-2eac33ad2e32","Upline: Carpe Diem Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","8","general-training","forms-admin|general-training|products","","5-point-system|product-education|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/carpe-diem-script.md"
"42","knowledge_source_3ede8d31-8bde-4a30-8ca9-93a0211541b5","Upline: Closing Scripts (v1)","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","17","general-training","business-building|forms-admin|general-training|product-science|products|team-training","collagene|eternel|glutathione|imune|purifi|revive|visage|vitalite","5-point-system|business-building|closing|detox|energy|gut-immune|metabolism|product-education|scripts|skincare|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/closing-scripts-v1.md"
"43","knowledge_source_1f437abf-9b0a-49d7-acb8-5f75120d91f5","Upline: Closing Scripts (v2)","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","10","general-training","business-building|forms-admin|general-training|product-science|products|team-training","glutathione|imune|visage|vitalite","5-point-system|business-building|closing|gut-immune|product-education|scripts|skincare|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/closing-scripts-v2.md"
"44","knowledge_source_70695427-8e3b-4c59-98c9-750e92507979","Upline: Connecting Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","20","general-training","business-building|forms-admin|general-training","","5-point-system|business-building|connecting|inviting|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/connecting-script.md"
"45","knowledge_source_f8645fd3-7117-4a92-985c-06db4c95844c","THREE: CORE 3 Double Promo Flyer","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","7","general-training","forms-admin|general-training","","5-point-system|compensation|core3|promotion|three-corporate|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/core3-promo-flyer-three-corporate.md"
"46","knowledge_source_40868d5a-02ae-473c-b386-7ae3b3996435","Upline: Create Your Names List","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","10","general-training","business-building|forms-admin|general-training|products","","5-point-system|business-building|energy|names-list|product-education|prospecting|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/create-your-names-list.md"
"47","knowledge_source_540d6a37-7d6c-472b-a1bf-4ccfae80bdd8","Upline: Enrollment Form","organizational","upline-legacy-makers","2026-07-07T23:04:07.630Z","7","forms-admin","compliance-policies|forms-admin|products","collagene|glp-three|kynetik|purifi|revive|visage|vitalite","5-point-system|compliance|detox|energy|enrollment|form|product-education|skincare|upline-reference","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/enrollment-form.md"
"48","knowledge_source_715553d4-88a3-466b-b81b-9723b1874bee","Upline: Follow Up Call Guide / Three Way Call Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","14","general-training","business-building|forms-admin|general-training|products","","5-point-system|business-building|follow-up|product-education|scripts|three-way-call|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/follow-up-call-guide-three-way-script.md"
"49","knowledge_source_642e268e-7dab-4e4a-98c3-400ca3700683","Upline: Getting Started Checklist","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","7","general-training","forms-admin|general-training|product-science|products|team-training","","5-point-system|checklist|onboarding|product-education|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/getting-started-checklist.md"
"50","knowledge_source_e9d9c783-a3e2-4ffe-8dd7-d999aea7b999","Upline: Health Professional Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","5","general-training","forms-admin|general-training|product-science","","5-point-system|healthcare-professional|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/health-professional-script.md"
"51","knowledge_source_a478445a-b5eb-4bcc-970c-6c6117b495bf","Upline: How to Use GLP-THREE","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","28","products","product-science|products","collagene|glp-three|purifi","5-point-system|detox|energy|glp-three|gut-immune|metabolism|product-education|product-usage|skincare|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/how-to-use-glp-three.md"
"52","knowledge_source_c8a200c9-f4ad-422d-b84f-61f9ef21131f","Upline: In Person Event Invite","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","6","general-training","forms-admin|general-training","","5-point-system|events|invite|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/in-person-event-invite.md"
"53","knowledge_source_cf3b60b1-78f4-4d4c-98db-0a625696b67d","Upline: Launch Invite","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","5","general-training","general-training","","5-point-system|invite|launch|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/launch-invite.md"
"54","knowledge_source_ecfa9afa-6bee-443d-a66c-901c9af2a2e1","Upline: Overcoming Objections","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","33","general-training","business-building|compensation-plan|forms-admin|general-training|products","","5-point-system|business-building|compensation|gut-immune|objections|product-education|scripts|skincare|upline-reference","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/overcoming-objections.md"
"55","knowledge_source_1a37c385-bc8e-4334-b380-40decee98457","Upline: Patient/Client Script","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","5","general-training","forms-admin|general-training|product-science","","5-point-system|healthcare|patient-client|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/patient-client-script.md"
"56","knowledge_source_0c59a650-d667-4e49-be81-7b6c552d0632","Upline: QBA Goal Sheet","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","32","general-training","compensation-plan|forms-admin|general-training|products","","5-point-system|compensation|goals|product-education|qba|upline-reference","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/qba-goal-sheet.md"
"57","knowledge_source_63ebbd19-049b-4e12-a3d9-80fdd6580b29","Upline: Quick Talking Points","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","3","general-training","compensation-plan|forms-admin|general-training|product-science|products","","5-point-system|cellular-absorption|compensation|product-education|scripts|talking-points|upline-reference","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/quick-talking-points.md"
"58","knowledge_source_c4bf4b75-e2a5-4b6e-9b19-88f2a3f3308d","Upline: Scripts for Life","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","18","general-training","business-building|forms-admin|general-training|product-science|products","","5-point-system|business-building|energy|product-education|scripts|skincare|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/scripts-for-life.md"
"59","knowledge_source_dd443a26-fee6-433b-b8ed-e1031dd25e97","Upline: Share Your Story","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","17","general-training","business-building|forms-admin|general-training|products|vision-strategy","","5-point-system|business-building|energy|product-education|skincare|story|testimonial|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/share-your-story.md"
"60","knowledge_source_21234dfe-7378-4199-a26b-5016441fe2e0","Upline: Social Text to Close Scripts","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","9","general-training","forms-admin|general-training|product-science|products","glp-three|mbc-267|purifi","5-point-system|closing|detox|metabolism|product-education|scripts|texting|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/social-text-to-close-scripts.md"
"61","knowledge_source_b45d3a86-ae47-4e54-aa63-6fe373bc2d9d","Upline: Start Messaging Guide","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","9","general-training","business-building|forms-admin|general-training|product-science|products","glp-three|mbc-267|purifi","5-point-system|business-building|detox|invitation|messaging|metabolism|product-education|scripts|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/start-messaging.md"
"62","knowledge_source_00af7f44-035e-4bd3-87c9-231f5093a487","Upline: Tracker Form T1","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","3","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t1.md"
"63","knowledge_source_b8fbaa0a-0760-4bcf-a9fb-1b9189435528","Upline: Tracker Form T2","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","9","forms-admin","business-building|forms-admin|products","","5-point-system|business-building|energy|forms|product-education|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t2.md"
"64","knowledge_source_ebb8ffe7-2792-4990-85b4-1e93401d98ef","Upline: Tracker Form T3","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","14","forms-admin","business-building|forms-admin|products","","5-point-system|business-building|energy|forms|product-education|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t3.md"
"65","knowledge_source_e04f1b24-d4f2-4e64-89a7-4bf1f111ce62","Upline: Tracker Form T4","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","1","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t4.md"
"66","knowledge_source_c65fc615-322d-4d99-8ab5-1923436209ab","Upline: Tracker Form T5","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","14","forms-admin","forms-admin|products","","5-point-system|forms|product-education|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t5.md"
"67","knowledge_source_9c0f0c73-e093-4a95-9b42-17b75de61e51","Upline: Tracker Form T6","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","2","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t6.md"
"68","knowledge_source_93cf9277-d71c-4ec2-9cd2-033ade0281e1","Upline: Tracker Form T7","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","1","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t7.md"
"69","knowledge_source_2bbf9ef9-b52a-4ac1-9104-5c8629f013f5","Upline: Tracker Form T8","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","1","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t8.md"
"70","knowledge_source_e43a1457-47ff-4095-956a-0384abf5f520","Upline: Tracker Form T9","training","upline-legacy-makers","2026-07-07T23:04:07.630Z","1","forms-admin","forms-admin","","5-point-system|forms|tracker|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/tracker-t9.md"
"71","knowledge_source_299660f0-2553-414b-a2f8-cd3896c30ee5","Upline: New BA Welcome Letter","organizational","upline-legacy-makers","2026-07-07T23:04:07.630Z","7","forms-admin","forms-admin|product-science|products|team-training","","5-point-system|onboarding|product-education|upline-reference|welcome","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/welcome-letter.md"
"72","knowledge_source_c5ab0128-e101-4ef8-b290-4cd740ff1dec","Upline: Healthcare Professional Program Guide","training","upline-legacy-makers","2026-07-08T17:33:17.699Z","14","general-training","general-training|products","collagene|imune|purifi|revive|visage|vitalite","5-point-system|compensation|healthcare-professional|product-education|professionals-track|program|skincare|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/healthcare-doc-2.md"
"73","knowledge_source_84fb3e88-8e8f-41db-97a5-864717a139ef","Upline: Healthcare Professional Resource","training","upline-legacy-makers","2026-07-08T17:33:17.699Z","7","general-training","forms-admin|general-training|product-science|products","collagene|visage|vitalite","5-point-system|healthcare-professional|product-education|professionals-track|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/healthcare-doc-3.md"
"74","knowledge_source_955ae04e-3994-42f1-8f5c-5967974486f8","Upline: Healthcare Professional Welcome Letter","organizational","upline-legacy-makers","2026-07-08T17:33:17.699Z","6","forms-admin","forms-admin|product-science|products|team-training","","5-point-system|compensation|healthcare-professional|onboarding|product-education|upline-reference|welcome","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/healthcare-welcome-letter.md"
"75","knowledge_source_080caf51-90fd-4174-8dc6-226801bdc368","Upline: How to Host Incredible In-Person Events","training","upline-legacy-makers","2026-07-08T17:33:17.699Z","8","general-training","forms-admin|general-training|products","collagene|kynetik","5-point-system|energy|events|hosting|in-person|product-education|upline-reference","standard","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/host-in-person-events.md"
"76","knowledge_source_598b211c-9cc3-425c-a947-e25a42b9a188","Upline: How to Host an Amazing Open House Wellness Event","training","upline-legacy-makers","2026-07-08T17:33:17.699Z","9","general-training","compensation-plan|general-training|products","collagene|kynetik","5-point-system|compensation|energy|events|gut-immune|hosting|metabolism|open-house|product-education|skincare|upline-reference|wellness","high","file:D:/momentum-creation-system-v2/knowledge/upline-legacy-makers/extracted/host-open-house-wellness-event.md"
